RecordID,UserID,DateOfAdoption,PetType
1,1016,2017-08-17,Bird
2,334,2016-10-20,Turtle
3,643,2019-07-15,Rabbit
4,643,2018-12-09,Rabbit
5,939,2017-09-30,Cat
6,801,2017-02-21,Hamster
7,923,2023-01-30,Hamster
8,923,2016-11-17,Bird
9,757,2021-09-17,Bird
10,1067,2015-06-20,Turtle
11,1067,2022-12-31,Cat
12,41,2015-06-18,Dog
13,41,2015-10-04,Rabbit
14,220,2015-11-19,Hamster
15,220,2015-07-23,Rabbit
16,103,2022-01-10,Dog
17,628,2021-04-29,Hamster
18,628,2016-06-30,Cat
19,625,2018-04-01,Bird
20,625,2018-07-14,Turtle
21,635,2022-02-16,Hamster
22,512,2021-01-04,Bird
23,1185,2018-11-07,Hamster
24,1185,2018-05-11,Hamster
25,136,2018-12-20,Hamster
26,883,2019-11-02,Turtle
27,883,2022-07-24,Hamster
28,1032,2021-06-29,Dog
29,1032,2020-08-19,Turtle
30,31,2020-04-28,Cat
31,56,2023-03-09,Cat
32,859,2021-10-20,Hamster
33,859,2020-06-20,Turtle
34,144,2015-04-26,Dog
35,144,2015-12-11,Cat
36,855,2017-08-07,Cat
37,855,2015-05-23,Turtle
38,76,2022-11-04,Turtle
39,1001,2015-10-10,Turtle
40,1001,2017-12-26,Bird
41,1048,2015-09-12,Cat
42,1048,2022-01-01,Dog
43,676,2021-04-04,Hamster
44,676,2017-07-18,Rabbit
45,645,2020-04-18,Hamster
46,559,2016-06-03,Bird
47,570,2019-03-09,Bird
48,351,2019-03-08,Dog
49,772,2021-11-16,Dog
50,772,2019-09-27,Rabbit
51,189,2020-01-16,Dog
52,189,2023-05-26,Rabbit
53,424,2019-11-13,Hamster
54,424,2015-09-13,Cat
55,818,2022-10-08,Rabbit
56,818,2022-10-02,Bird
57,992,2015-09-23,Bird
58,992,2023-02-04,Dog
59,851,2020-11-19,Rabbit
60,986,2018-03-22,Cat
61,986,2015-10-30,Bird
62,1047,2020-01-15,Hamster
63,478,2018-10-14,Turtle
64,478,2019-11-14,Hamster
65,371,2020-10-13,Dog
66,1078,2023-02-19,Turtle
