PetID,ShelterID,Name,Type,Breed,Age,Size,Color,Sex,DateOfIntake
1,178,Joel,Rabbit,Lionhead,3,Small,MediumVioletRed,Male,2022-05-15
2,457,Jerry,Bird,Lovebird,13,Medium,DarkSlateBlue,Male,2023-12-25
3,424,Terry,Rabbit,Mini Lop,6,Medium,DarkOrchid,Male,2022-07-14
4,214,Alison,Hamster,Dwarf Campbell,11,Large,Brown,Male,2022-08-04
5,77,Michelle,Dog,Poodle,9,Medium,LightGray,Female,2023-03-05
6,166,Chase,Rabbit,Mini Lop,15,Small,MediumVioletRed,Male,2024-08-10
7,287,Jason,Hamster,Winter White,15,Large,IndianRed,Male,2023-11-25
8,320,Jonathan,Hamster,Syrian,14,Large,MediumTurquoise,Male,2024-06-17
9,383,Nicholas,Cat,Maine Coon,1,Medium,Tomato,Female,2024-04-17
10,116,Ricardo,Hamster,Chinese,7,Medium,Yellow,Female,2024-10-04
11,355,John,Hamster,Syrian,4,Large,DarkCyan,Male,2024-10-03
12,319,Robin,Hamster,Dwarf Campbell,9,Large,DarkOrchid,Female,2023-08-12
13,417,Robin,Cat,Persian,13,Large,DodgerBlue,Female,2022-08-28
14,427,Brian,Hamster,Winter White,2,Large,MediumVioletRed,Female,2022-07-31
15,425,Holly,Dog,German Shepherd,10,Large,OldLace,Male,2024-08-18
16,313,Adam,Bird,Parakeet,2,Medium,Wheat,Female,2022-05-12
17,166,David,Hamster,Chinese,11,Small,MintCream,Female,2022-12-28
18,432,Marcus,Hamster,Roborovski,6,Medium,Snow,Female,2022-05-24
19,224,Kerry,Hamster,Chinese,13,Medium,Cornsilk,Female,2025-02-15
20,110,Rachel,Dog,Poodle,4,Large,LightSeaGreen,Male,2022-05-17
21,341,Mary,Rabbit,Mini Lop,10,Medium,BlueViolet,Male,2024-07-02
22,255,Eric,Bird,Canary,4,Small,Silver,Male,2024-09-01
23,26,Jessica,Bird,Parakeet,2,Large,LimeGreen,Female,2024-07-28
24,119,Christopher,Rabbit,Holland Lop,10,Medium,MidnightBlue,Male,2022-10-25
25,170,Brandon,Hamster,Winter White,15,Small,DarkGray,Female,2023-05-22
26,351,Charles,Bird,Canary,11,Small,MediumSpringGreen,Male,2023-12-24
27,305,James,Bird,Canary,13,Large,PaleTurquoise,Female,2022-08-19
28,252,Andrew,Hamster,Winter White,1,Large,MediumAquaMarine,Male,2023-12-19
29,162,Sara,Hamster,Dwarf Campbell,5,Small,LightSeaGreen,Male,2025-03-01
30,276,Karen,Dog,Poodle,1,Medium,MediumOrchid,Male,2024-12-09
31,238,Leslie,Hamster,Winter White,13,Medium,Gold,Female,2022-10-21
32,383,Tracey,Hamster,Syrian,8,Large,Tomato,Male,2022-09-11
33,463,Paul,Hamster,Chinese,10,Small,LightGoldenRodYellow,Male,2025-01-19
34,431,Harold,Dog,Bulldog,15,Small,Sienna,Female,2024-10-16
35,354,Terri,Hamster,Winter White,3,Small,Cyan,Female,2022-08-31
36,369,Catherine,Cat,British Shorthair,1,Large,DarkOrange,Male,2023-02-03
37,5,Brenda,Bird,Finch,7,Small,MintCream,Male,2024-11-13
38,39,Becky,Cat,Maine Coon,13,Small,Olive,Female,2022-08-17
39,472,Mary,Bird,Cockatiel,5,Small,Khaki,Male,2022-07-12
40,286,Deborah,Dog,Labrador,7,Small,LightYellow,Male,2023-07-20
41,489,Julie,Hamster,Chinese,13,Small,White,Male,2024-09-25
42,124,Christina,Cat,American Shorthair,3,Medium,DarkOrange,Female,2024-11-26
43,275,Christopher,Bird,Lovebird,11,Small,LightCoral,Male,2022-10-14
44,24,Micheal,Rabbit,Lionhead,8,Small,BurlyWood,Female,2023-02-06
45,181,Todd,Dog,Poodle,9,Large,IndianRed,Male,2023-05-16
46,314,Drew,Dog,German Shepherd,13,Large,Snow,Male,2023-06-30
47,15,William,Cat,American Shorthair,15,Medium,Black,Male,2023-08-23
48,313,Martha,Bird,Canary,15,Large,Gainsboro,Female,2023-08-03
49,436,Brandy,Cat,Persian,5,Medium,SeaGreen,Female,2023-11-15
50,167,Andrew,Hamster,Chinese,6,Medium,PowderBlue,Male,2024-07-30
51,472,John,Rabbit,Rex,12,Small,DarkKhaki,Female,2024-11-24
52,485,Suzanne,Rabbit,Netherland Dwarf,12,Large,DarkOrchid,Male,2025-01-25
53,445,Shelby,Dog,German Shepherd,14,Small,DarkGoldenRod,Female,2023-02-28
54,460,Mary,Bird,Canary,5,Large,MediumVioletRed,Female,2022-08-25
55,459,Sarah,Rabbit,Mini Lop,10,Large,HotPink,Male,2022-07-26
56,186,Angela,Hamster,Dwarf Campbell,9,Large,Lime,Female,2022-05-30
57,402,Sarah,Hamster,Roborovski,8,Large,Gainsboro,Female,2024-03-07
58,128,Mark,Cat,Persian,8,Large,DarkGoldenRod,Female,2023-10-28
59,454,Brandon,Bird,Canary,12,Medium,SaddleBrown,Male,2023-09-05
60,402,Patricia,Cat,British Shorthair,9,Small,LightBlue,Female,2023-10-22
61,190,Jonathon,Cat,Siamese,4,Large,Black,Male,2023-05-16
62,175,Denise,Dog,Poodle,3,Small,Bisque,Female,2022-08-29
63,86,Kristina,Rabbit,Mini Lop,14,Small,DarkBlue,Male,2023-03-21
64,361,Cassandra,Bird,Cockatiel,12,Medium,MidnightBlue,Male,2022-11-09
65,316,Eric,Dog,Golden Retriever,4,Large,LemonChiffon,Female,2024-06-22
66,60,Billy,Cat,American Shorthair,15,Small,OrangeRed,Female,2024-11-12
67,254,Frederick,Rabbit,Lionhead,2,Large,SkyBlue,Female,2023-03-23
68,401,Michelle,Hamster,Chinese,15,Medium,RosyBrown,Female,2024-09-05
69,160,Brenda,Dog,German Shepherd,14,Small,LightSalmon,Male,2024-08-20
70,71,Dalton,Cat,Siamese,6,Small,PeachPuff,Male,2024-10-20
71,313,Jennifer,Bird,Finch,11,Medium,GreenYellow,Female,2024-04-17
72,91,Seth,Dog,Golden Retriever,8,Small,Green,Male,2024-02-26
73,158,Darlene,Hamster,Winter White,2,Small,AliceBlue,Female,2022-05-30
74,55,Drew,Hamster,Dwarf Campbell,2,Large,SaddleBrown,Female,2022-04-01
75,83,Erica,Hamster,Dwarf Campbell,14,Large,DarkSlateGray,Female,2022-10-04
76,83,Maureen,Cat,Persian,5,Medium,Salmon,Male,2025-02-03
77,465,Michael,Rabbit,Mini Lop,6,Medium,Plum,Male,2022-05-17
78,399,Jason,Bird,Finch,10,Medium,DarkOliveGreen,Male,2022-06-29
79,55,Thomas,Hamster,Syrian,1,Large,Red,Male,2023-03-02
80,168,Michael,Cat,Siamese,11,Small,DarkRed,Female,2023-06-21
81,167,Tony,Hamster,Syrian,1,Large,Thistle,Male,2023-10-30
82,72,Kristin,Bird,Parakeet,8,Large,GreenYellow,Female,2024-01-11
83,352,David,Hamster,Syrian,13,Small,Linen,Female,2024-08-14
84,8,Amber,Bird,Finch,5,Medium,Gainsboro,Female,2023-11-08
85,326,Karen,Cat,Maine Coon,15,Large,WhiteSmoke,Male,2023-08-02
86,204,Mark,Dog,Bulldog,7,Large,Cyan,Female,2023-01-28
87,29,Andrew,Cat,Maine Coon,4,Large,MediumSlateBlue,Female,2025-03-23
88,153,Michael,Dog,Bulldog,10,Small,DeepSkyBlue,Female,2023-02-08
